,gt_len,model_len,obstacle_hit
f7e3ac12-c37e-4497-87c4-11b9393190f6.pt,165.0,,
889254ce-346f-4c27-89b4-580f0de4472c.pt,37.0,,
ba8b33c4-7420-4643-8ee9-011df0738f53.pt,84.0,,
6aaa23b9-caa3-4530-a656-1fad56b12153.pt,52.0,,
f910a680-d14f-4b96-acb0-cf5000a447db.pt,63.0,,
e3472c26-6e5c-4449-a3cf-43653e0b8cf1.pt,104.0,,
2b8b342b-3264-40fb-9037-514d4ba06cdb.pt,62.0,,
2256e84a-5aa8-46d0-bcfa-edf3764ddeb5.pt,98.0,215.0,23.0
6e36acb9-edb3-47ce-8ef8-8beb965c1be8.pt,73.0,,
a2d4c98a-cee9-42e3-827b-9047de8f83ae.pt,85.0,,
b57476a6-f556-4bdb-a570-79880737ffba.pt,105.0,,
5f5a553e-32ac-4823-81f1-5d4f204f65a9.pt,81.0,,
f93acf82-9725-47ce-92b5-fcc928df0d70.pt,80.0,,
5649da62-7d52-47c3-967e-0e15466da1fe.pt,63.0,,
18c61c04-a4a1-4004-b1bf-b56c02e90e47.pt,84.0,,
c16d5e37-c18c-4ddb-a834-98cb9af901fd.pt,99.0,198.0,18.0
9fd1c573-46df-4db6-ae86-e83abb89e9aa.pt,121.0,,
a24010c3-abee-4b18-bc66-a27eb719f477.pt,72.0,,
c83cd2c6-0ac7-40c0-b01a-4a566d0c49d3.pt,35.0,,
d1cf7649-a547-413d-b783-d8baddcccc34.pt,80.0,,
55d246d2-ce4e-4dc9-9493-b42b7620734f.pt,49.0,,
63901d80-4996-4d72-9d46-dcbb574f118e.pt,51.0,,
fc730abb-89f6-4de9-9e13-4ff879785147.pt,65.0,,
e861b8bf-be80-4f75-84bb-2332c595f617.pt,113.0,,
fba7382c-94f7-41a6-a313-693c593f69d4.pt,111.0,,
c1cacac5-cfd1-43e1-9683-19d95b52934a.pt,127.0,,
def5fa9f-35ae-4ec8-80f9-bc53f8688fd3.pt,85.0,315.0,60.0
e954d11a-bd4f-4c6c-b32c-d87f49e4defb.pt,84.0,215.0,47.0
fa377a04-4487-4115-b37d-f59b461e292b.pt,108.0,,
61bba3c9-bf7f-4a9c-8337-f1ba2c0e5cdc.pt,103.0,,
e9cb665e-d08c-4f11-9f57-e0f3399fb2a3.pt,65.0,,
666807a6-c162-42e6-8ecb-be96b8d79e0a.pt,90.0,,
5ea95071-c156-46c3-9040-98344f276837.pt,81.0,,
c37bc6d2-f80c-438d-838d-b509ef9ab6d3.pt,111.0,,
e11204cd-0190-4e3b-aace-ec851ad841d8.pt,104.0,,
4012da58-6bd8-4eb7-ba9b-711ee253e55c.pt,61.0,,
42cebc78-aaba-4a98-b7b9-80ef24505bf5.pt,106.0,,
8afb4bea-559d-4966-aa18-054b2d8c2d53.pt,72.0,,
9d4ab038-f9e9-40a7-a974-50038c3612ce.pt,41.0,,
a911dc79-7551-4521-b8eb-4dba1b32bceb.pt,86.0,,
3e6ff05f-2917-4b8a-9fe9-266f99640dc4.pt,85.0,,
4b700e85-e020-49b2-84a4-25c814ed38c2.pt,121.0,,
e9e4f5f7-c51a-4910-b807-80d7eda0a12b.pt,47.0,,
8bd34b57-ac13-48f1-86d0-53c08ab5de41.pt,62.0,,
1b59a886-10f7-4d38-b4f8-6b9ef0256197.pt,67.0,,
bc163d55-5e25-41c8-ac19-fb71ef64eea0.pt,87.0,,
087dbf90-a8e3-4489-8204-5c299757c431.pt,31.0,,
48130dcc-6cee-4a54-932b-aa6a89866dae.pt,96.0,210.0,45.0
64c39e0c-66ec-4e01-8f6c-15905d4e4bd5.pt,96.0,,
c03de817-540d-45c8-859f-15d996a32c98.pt,36.0,,
c048ef0b-da2a-4fab-adba-932d8a5cc15b.pt,85.0,,
